property_name,area_type,property_type,status,furnishing,facing,description,price,price_num,square_feet,price_per_sqft,floor_info,max_floors
2 BHK Apartment for Sale in Dindoli Surat,Carpet Area,New Property,Poss. by Oct '24,Unfurnished,West,"Luxury project with basement parking, Solar rooftop, Gym, Build with advanced machinery and standard materials that last long. Best project for under construction scheme for a happy family life.Read more",₹33.8 Lac ,3379999.9999999995,644.0,2891.0,5.0,10.0
2 BHK Apartment for Sale in Pal Gam Surat,Super Area,Resale,Ready to Move,Semi-Furnished,East,"This affordable 2 BHK flat is situated along a 200foot road, ensuring easy access and connectivity. Enjoy the convenience of a prime location at a budgetfriendly price. Additionally, it is ready to move in, offering immediate occupancy for your convenience. With a towering 19floor height, it provides impressive views and a sense of elevation.Read more",₹44.6 Lac ,4460000.0,1173.0,3800.0,5.0,13.0
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,New Property,Ready to Move,Unfurnished,East,2 BHK Flat For sell IN Jahangirabad Prime Location,₹47 Lac ,4700000.0,700.0,3966.0,6.0,14.0
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,New Property,Poss. by Dec '25,Unfurnished,East,"Irrespective of the business branch, the our group believes in, and follows a singular philosophicalRead more",₹40 Lac ,4000000.0,720.0,3200.0,3.0,14.0
2 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,New Property,Poss. by Dec '25,Unfurnished,East,next to Canezaa theater near new d mart location a very anchor location and full of amenities with very simple payment conditionsRead more,₹44 Lac ,4400000.0,748.0,3235.0,6.0,13.0
2 BHK Apartment for Sale in NavYug College Surat,Carpet Area,Resale,Ready to Move,Unfurnished,East,"Presenting an exceptional 2 BHK flat for sale, strategically located near NavYug College on Rander Road, Surat. This residence combines modern living with convenience, offering a perfect blend of comfort and accessibility.   Property Specifications   Discover a spacious haven with a carpet area of 1650 sqft on the 7th floor of a 10-story building. The flat is unfurnished, allowing you the freedom to customize your living space according to your style and preferences.   The 2-bedroom layout includes 2 western-style bathrooms, with one attached to the master bedroom and another serving as a common facility. Enjoy the luxury of an attached balcony overlooking the main road, seamlessly connected to the hall. The residence features a separate living and dining area, ensuring privacy and functional space. Additionally, a convenient store room adds to the practicality of the home.   The kitchen is designed for efficiency, equipped with a normal layout, platform, and sink. A piped gas connection is available for your cooking convenience, and a utility area is attached to the kitchen. The entire space is adorned with ceramic tiles, providing a contemporary and easy-to-maintain flooring solution. The property is vaastu compliant, and its east-facing orientation brings in ample natural light.   Facilities   Experience the ease of living with covered parking for your vehicle. Enjoy uninterrupted living with 24-hour water supply sourced from the corporation. The property comes with 100 power backup, ensuring you never face disruptions. Your security is our priority, with a dedicated security guard and CCTV surveillance. The building is equipped with 2 elevators for swift and convenient access to your residence.   Locality   Situated near the Vijay Sales Showroom, this property is surrounded by educational institutions and healthcare facilities within a 1 to 2 km radius. Malls and supermarkets are also conveniently located, offering a range of shopping and entertainment options. Banks and ATMs in close proximity add to the convenience of daily life. For those relying on public transport, the property is well-connected. The railway station is 8 to 9 km away, providing easy access for commuters.Read more",₹50 Lac ,5000000.0,1650.0,3125.0,7.0,10.0
2 BHK Apartment for Sale in Adajan Surat,Super Area,Resale,Ready to Move,Furnished,East,"2 BHK, Multistorey Apartment is available for Sale in Adajan, Surat for 50.0 Lac(s)Read more",₹50 Lac ,5000000.0,847.0,5903.0,1.0,13.0
3 BHK Apartment for Sale in Dindoli Surat,Super Area,New Property,Poss. by Feb '26,Unfurnished,North - East,120 ft main road touch  corner project only 3 BHK flats aminitiesbanquet halltemplegardengymnasiumchildren play areagajebo sittingJogging trackbasement parkingRead more,₹35.8 Lac ,3579999.9999999995,1511.0,2368.0,5.0,13.0
2 BHK Apartment for Sale in Bhatar Road Surat,Carpet Area,Resale,Ready to Move,Furnished,South - East,"Good news for those planning to own a flat in Surat!! Introducing a well-maintained 2 BHK apartment now available for sale on Bhatar Road, Surat. Boasting essential services within a short range, this property is definitely the right choice to lead a hassle-free life with the family. Then, why wait, book this property today!!Property SpecificationsThoughtfully designed, this 2 BHK flat spanning across a carpet area of 850 sqft is levelled on the 4th floor of a 7-storey building. Furnished with wardrobes, beds, AC, lights, and fans, this residence offers a seamless blend of convenience and elegance. Being vaastu compliant is another highlight of this property and the flat faces the southeast direction.Moving to the layout, the flat consists of two bedrooms and 2 western-style bathrooms ( 1 attached, 1 common) equipped with geysers. A balcony attached to one bedroom provides a charming view of the road. Further, the living-cum-dining area, store room, and modular kitchen with a piped gas connection showcase thoughtful design.That is not all, there is a utility area with the kitchen for added convenience and the flooring throughout the flat is adorned with marble.FacilitiesThis property benefits from facilities such as 2 open parking spaces, 24-hour water supply from both borewell and corporation sources, 100% power backup, tight security, CCTV surveillance, and a lift.LocalityLocated near Uma Bhavan, this property is within 1 km of schools, hospitals, and malls/supermarkets, ensuring proximity to essential amenities. Public transport options, including buses and autos, are easily accessible while the railway station is  just 7km away and a metro station is at a convenient 100m distance.Read more",₹45 Lac ,4500000.0,850.0,5294.117647058823,4.0,7.0
3 BHK Apartment for Sale in Mota Varachha Surat,Carpet Area,New Property,Ready to Move,Furnished,East,"3bhk fully furnished flat in Mota Varachha n well maintained fully furnished with softa, fan  lightsRead more",₹43 Lac ,4300000.0,1000.0,3185.0,3.0,5.0
1 BHK Apartment for Sale in Ramnagar Surat,Carpet Area,Resale,Ready to Move,Unfurnished,East,gated security,₹20 Lac ,2000000.0,731.0,2736.0,2.0,5.0
2 BHK Builder Floor for Sale in Amroli Surat,Carpet Area,Resale,Ready to Move,Unfurnished,West,Flat for sale in Amroli Surat. Prime location. Near by Mansarovar Shopping center.Read more,₹29 Lac ,2900000.0,950.0,2829.0,5.0,5.0
3 BHK Apartment for Sale in Jahangirabad Surat,Carpet Area,Resale,Ready to Move,Unfurnished,East,This is 3 bhk fully furnished flat with all furniture and electronic appliances.Read more,₹40 Lac ,4000000.0,910.0,2857.0,1.0,5.0
2 BHK Apartment for Sale in Althan Surat,Super Area,New Property,Poss. by Dec '26,Unfurnished,East,"he beautifully designed granite flooring enhances the beauty of the flat. Moreover, this property offers close proximity to important landmarks such as close to mall, , and close to school. Many of the modern amenities being offered, like swimming pool, cctv surveillance, club house  community center, fitness centre  gym, park, lifts, maintenance staff and visitor parking, will provide a pleasant living experience for you. This residential project ensures a 247 water supply for its residents.Read more",₹48 Lac ,4800000.0,1305.0,3678.0,5.0,12.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,Resale,Ready to Move,Furnished,East,"2 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 45.0 Lac(s)Read more",₹45 Lac ,4500000.0,1290.0,3488.0,5.0,13.0
2 BHK Apartment for Sale in Bamroli Surat,Super Area,New Property,Poss. by Apr '25,Unfurnished,South - East,2 BHK Luxurious Flat For Sell In Surat Citys Prime Area With Attractive Price.Read more,₹32 Lac ,3200000.0,975.0,3282.0,6.0,13.0
2 BHK Apartment for Sale in Jahangirabad Surat,Super Area,New Property,Ready to Move,Unfurnished,East,2 BHK Flat For sell In Jaahngirabad Prime Area With All Aminities.Read more,₹35 Lac ,3500000.0,1250.0,2800.0,7.0,14.0
